statement,label
It is the case either that Xenon has the symbol Cr or that Xenon has the symbol F.,0
It is the case either that Niobium has the symbol Nb or that Niobium has the symbol Cl.,1
It is the case either that Calcium has the symbol Ba or that Calcium has the symbol P.,0
It is the case either that Platinum has the symbol Pd or that Platinum has the symbol La.,0
It is the case either that Tungsten has the symbol B or that Tungsten has the symbol Zr.,0
It is the case either that Molybdenum has the symbol Mo or that Molybdenum has the symbol In.,1
It is the case either that Thallium has the symbol Tl or that Thallium has the symbol Co.,1
It is the case either that Carbon has the symbol C or that Carbon has the symbol Cs.,1
It is the case either that Calcium has the symbol P or that Calcium has the symbol Eu.,0
It is the case either that Cobalt has the symbol Sc or that Cobalt has the symbol Lu.,0
It is the case either that Lanthanum has the symbol Po or that Lanthanum has the symbol Ba.,0
It is the case either that Osmium has the symbol Np or that Osmium has the symbol Os.,1
It is the case either that Thallium has the symbol P or that Thallium has the symbol Tl.,1
It is the case either that Technetium has the symbol B or that Technetium has the symbol Ag.,0
It is the case either that Cesium has the symbol Cr or that Cesium has the symbol Tc.,0
It is the case either that Scandium has the symbol Sc or that Scandium has the symbol Pt.,1
It is the case either that Yttrium has the symbol Dy or that Yttrium has the symbol U.,0
It is the case either that Zinc has the symbol Fr or that Zinc has the symbol P.,0
It is the case either that Neptunium has the symbol Na or that Neptunium has the symbol Tl.,0
It is the case either that Carbon has the symbol C or that Carbon has the symbol Au.,1
It is the case either that Silver has the symbol Ag or that Silver has the symbol Sr.,1
It is the case either that Palladium has the symbol As or that Palladium has the symbol Nd.,0
It is the case either that Ytterbium has the symbol Mo or that Ytterbium has the symbol Nd.,0
It is the case either that Europium has the symbol Au or that Europium has the symbol Ga.,0
It is the case either that Iron has the symbol Fe or that Iron has the symbol As.,1
It is the case either that Hydrogen has the symbol Cr or that Hydrogen has the symbol Pt.,0
It is the case either that Cadmium has the symbol Np or that Cadmium has the symbol Ir.,0
It is the case either that Beryllium has the symbol Be or that Beryllium has the symbol Si.,1
It is the case either that Manganese has the symbol Gd or that Manganese has the symbol Sr.,0
It is the case either that Iridium has the symbol Au or that Iridium has the symbol Fe.,0
It is the case either that Europium has the symbol Eu or that Europium has the symbol Tm.,1
It is the case either that Chlorine has the symbol Ag or that Chlorine has the symbol Cl.,1
It is the case either that Tungsten has the symbol Sr or that Tungsten has the symbol W.,1
It is the case either that Lutetium has the symbol Be or that Lutetium has the symbol La.,0
It is the case either that Rhenium has the symbol Re or that Rhenium has the symbol Ne.,1
