statement,label
The symbol Tl stands for the chemical element Thallium.,1
The symbol Sb stands for the chemical element Barium.,0
The symbol Ta stands for the chemical element Tantalum.,1
The symbol Be stands for the chemical element Beryllium.,1
The symbol U stands for the chemical element Yttrium.,0
The symbol Kr stands for the chemical element Krypton.,1
The symbol Np stands for the chemical element Molybdenum.,0
The symbol Sn stands for the chemical element Strontium.,0
The symbol Rb stands for the chemical element Rubidium.,1
The symbol Ti stands for the chemical element Titanium.,1
The symbol Sr stands for the chemical element Strontium.,1
The symbol Cl stands for the chemical element Mercury.,0
The symbol Xe stands for the chemical element Xenon.,1
The symbol Re stands for the chemical element Uranium.,0
The symbol As stands for the chemical element Indium.,0
The symbol Ga stands for the chemical element Gallium.,1
The symbol Eu stands for the chemical element Europium.,1
The symbol Cl stands for the chemical element Chlorine.,1
The symbol Nd stands for the chemical element Palladium.,0
The symbol Kr stands for the chemical element Rubidium.,0
The symbol Fr stands for the chemical element Zinc.,0
The symbol Lu stands for the chemical element Sodium.,0
The symbol Fr stands for the chemical element Francium.,1
The symbol Se stands for the chemical element Selenium.,1
The symbol Ag stands for the chemical element Silver.,1
The symbol Al stands for the chemical element Potassium.,0
The symbol Ne stands for the chemical element Neon.,1
The symbol Pd stands for the chemical element Palladium.,1
The symbol S stands for the chemical element Sulfur.,1
The symbol Al stands for the chemical element Antimony.,0
The symbol Tb stands for the chemical element Polonium.,0
The symbol Hf stands for the chemical element Hafnium.,1
The symbol Cr stands for the chemical element Gold.,0
The symbol Cr stands for the chemical element Chlorine.,0
The symbol Ir stands for the chemical element Iridium.,1
The symbol Tl stands for the chemical element Francium.,0
The symbol Ac stands for the chemical element Actinium.,1
The symbol Au stands for the chemical element Gold.,1
The symbol As stands for the chemical element Beryllium.,0
The symbol Tm stands for the chemical element Rhenium.,0
The symbol Pr stands for the chemical element Erbium.,0
The symbol Cd stands for the chemical element Cadmium.,1
The symbol Ar stands for the chemical element Actinium.,0
The symbol Os stands for the chemical element Osmium.,1
The symbol Np stands for the chemical element Neptunium.,1
The symbol Ne stands for the chemical element Cerium.,0
The symbol K stands for the chemical element Potassium.,1
The symbol Br stands for the chemical element Bromine.,1
The symbol Re stands for the chemical element Arsenic.,0
The symbol Se stands for the chemical element Thorium.,0
The symbol Ca stands for the chemical element Calcium.,1
The symbol Zr stands for the chemical element Zirconium.,1
The symbol U stands for the chemical element Dysprosium.,0
The symbol B stands for the chemical element Boron.,1
The symbol Sb stands for the chemical element Silver.,0
