statement,label
The inventor Edwin Herbert Hall lived in the U.S.,1
The inventor Emile Berliner lived in Russia.,0
The inventor Frederick Walton lived in the U.S.,0
The inventor William Congreve lived in Canada.,0
The inventor Gustaf Dalén lived in Sweden.,1
The inventor Evangelista Torricelli lived in the U.S.,0
The inventor George Pullman lived in the U.K.,0
The inventor Marvin Camras lived in France.,0
The inventor William Sturgeon lived in the U.K.,1
The inventor Frederick Walton lived in the U.K.,1
The inventor Clarence Birdseye lived in the U.S.,1
The inventor Gideon Sundback lived in Sweden/the U.S.,1
The inventor John Shepherd-Barron lived in Scotland.,1
The inventor Edwin Link lived in the U.K.,0
The inventor Chester Carlson lived in the U.K.,0
The inventor Whitcomb Judson lived in the U.S.,1
The inventor Joseph Glidden lived in the U.S.,1
The inventor Rudolf Diesel lived in the U.S.,0
The inventor Charles Wheatstone lived in France.,0
The inventor John Callcott Horsley lived in Germany.,0
The inventor Charles Goodyear lived in the U.S.,1
The inventor Lloyd Groff Copeman lived in the U.S.,1
The inventor Herbert Akroyd Stuart lived in England.,1
The inventor Herbert Saffir lived in the U.K.,0
The inventor August Horch lived in Russia.,0
The inventor Joseph Marie Jacquard lived in the Netherlands.,0
The inventor David Edward Hughes lived in the U.S.,1
The inventor Yoshua Bengio lived in Canada.,1
The inventor Ferdinand Carré lived in the U.S.,0
The inventor Rudolf Kálmán lived in Hungary.,1
The inventor Charles Fritts lived in the U.S.,1
The inventor Narinder Singh Kapany lived in India.,1
The inventor Archimedes lived in Ancient Greece.,1
The inventor Gottlieb Daimler lived in France.,0
The inventor Fritz Pfleumer lived in Germany.,1
The inventor Arthur Fry lived in the U.S.,1
The inventor Fridtjof Nansen lived in the U.K.,0
The inventor Semyon Kirlian lived in Russia.,1
The inventor Ignazio Porro lived in Italy.,1
The inventor Paul Gottlieb Nipkow lived in Denmark.,0
The inventor Edwin H. Land lived in Sweden.,0
The inventor Lester Wire lived in the U.S.,1
The inventor László Bíró lived in Hungary.,1
The inventor George Eastman lived in the U.K.,0
The inventor Galileo Galilei lived in Italy.,1
The inventor John Atanasoff lived in the U.S.,1
The inventor Benjamin Franklin lived in the U.S.,1
The inventor Sir Sandford Fleming lived in Canada.,1
The inventor Robert Moog lived in the U.S.,1
The inventor George Washington Carver lived in the U.S.,1
The inventor James Clerk Maxwell lived in the U.S.,0
The inventor Hans Lippershey lived in the U.S.,0
The inventor Fridtjof Nansen lived in Norway.,1
The inventor Sir Sandford Fleming lived in the U.S.,0
The inventor Willis Carrier lived in the U.S.,1
The inventor Joseph-Armand Bombardier lived in Canada.,1
The inventor Earle Dickson lived in the U.S.,1
The inventor Luther George Simjian lived in Turkey/the U.S.,1
The inventor Herbert Saffir lived in the U.S.,1
The inventor Ignazio Porro lived in the U.S.,0
The inventor Wallace Carothers lived in the U.S.,1
The inventor John Wesley Hyatt lived in the U.S.,1
The inventor James Dyson lived in the U.K.,1
The inventor Candace Pert lived in the U.S.,1
The inventor David Schwarz lived in France.,0
The inventor Walter Hunt lived in the U.S.,1
The inventor Samuel Morse lived in Germany.,0
The inventor Yvonne Brill lived in Canada.,1
The inventor Guglielmo Marconi lived in the U.K.,0
The inventor Shinya Yamanaka lived in Germany.,0
The inventor Carl Sontheimer lived in Switzerland.,0
The inventor Sergey Brin and Larry Page lived in the U.K.,0
The inventor Percy Spencer lived in the U.S.,1
The inventor Henry Bessemer lived in the U.K.,1
The inventor Ruth Handler lived in the Netherlands.,0
The inventor Richard Leach Maddox lived in the U.K.,1
The inventor Alfred Nobel lived in the U.S.,0
The inventor Thomas Wedgwood lived in the U.K.,1
The inventor Frank Bunker Gilbreth lived in the U.S.,1
The inventor Benjamin Holt lived in the U.S.,1
The inventor Josephine Cochrane lived in Germany.,0
The inventor Godfrey Hounsfield lived in Denmark.,0
The inventor Antoine Lavoisier lived in France.,1
The inventor Carlos Glidden lived in Scotland.,0
The inventor Maria Telkes lived in Hungary/the U.S.,1
The inventor Robert Adler lived in Austria/the U.S.,1
The inventor James Watt lived in the U.S.,0
The inventor Edwin Link lived in the U.S.,1
The inventor Igor Sikorsky lived in the U.S.,0
The inventor Sir Humphry Davy lived in the U.K.,1
The inventor Nikolai Basov lived in the U.S.,0
The inventor Edwin H. Land lived in the U.S.,1
The inventor Cai Lun lived in Italy.,0
The inventor Mary Walton lived in France.,0
The inventor Joseph Aspdin lived in Switzerland.,0
The inventor James Watt lived in Scotland.,1
The inventor Ernest Swinton lived in the U.K.,1
The inventor Jean-Bernard-Léon Foucault lived in France.,1
The inventor Gordon Gould lived in the U.S.,1
The inventor Leonardo da Vinci lived in Poland/France.,0
The inventor Ernesto Blanco lived in the U.S.,1
The inventor George Cayley lived in Canada.,0
The inventor John von Neumann lived in Hungary/the U.S.,1
The inventor Gideon Sundback lived in the U.S.,0
The inventor Ruth Benerito lived in the U.S.,1
The inventor Robert Moog lived in Austria/the U.S.,0
The inventor Luther George Simjian lived in Norway.,0
The inventor Ralph H. Baer lived in the U.S.,1
The inventor John Gorrie lived in Italy.,0
The inventor Michael Faraday lived in the U.K.,1
The inventor Lloyd Groff Copeman lived in Germany.,0
The inventor Philo Farnsworth lived in Germany.,0
The inventor Alan Turing lived in the U.K.,1
The inventor Elisha Gray lived in the U.S.,1
The inventor Édouard-Léon Scott de Martinville lived in France.,1
The inventor Zhores Alferov lived in the U.K.,0
The inventor Leon Theremin lived in Russia.,1
The inventor Rudolf Diesel lived in Germany.,1
The inventor Elisha Otis lived in the U.S.,1
The inventor László Bíró lived in the U.S.,0
The inventor Valdemar Poulsen lived in Denmark.,1
The inventor James Murray Spangler lived in the U.K.,0
The inventor Joseph Aspdin lived in the U.K.,1
The inventor Hans Berger lived in the U.S.,0
The inventor Philo Farnsworth lived in the U.S.,1
The inventor Ralph Benjamin lived in Italy.,0
The inventor Florence Parpart lived in the U.K.,0
The inventor Marvin Camras lived in the U.S.,1
The inventor Charles Babbage lived in the U.K.,1
The inventor Charles Francis Richter lived in France.,0
The inventor Ami Argand lived in Switzerland.,1
The inventor Kwolek lived in the U.S.,0
The inventor Richard Gatling lived in the U.K.,0
The inventor Luther Simjian lived in Turkey/the U.S.,1
The inventor Joseph Bramah lived in the U.K.,1
The inventor Hans Geiger lived in Austria/the U.S.,0
The inventor Alexander Graham Bell lived in Scotland/Canada/the U.S.,1
The inventor Blaise Pascal lived in Poland/France.,0
The inventor Charles Macintosh lived in the U.K.,1
The inventor Narinder Singh Kapany lived in the U.K.,0
The inventor Bette Nesmith Graham lived in the U.S.,1
The inventor Édouard-Léon Scott de Martinville lived in the U.K.,0
The inventor Orville and Wilbur Wright lived in the U.S.,1
The inventor Richard Leach Maddox lived in Austria.,0
The inventor Hans Oersted lived in the U.S.,0
The inventor Charles Cros lived in the U.S.,0
The inventor R. Buckminster Fuller lived in Scotland.,0
The inventor Willis Carrier lived in Italy.,0
The inventor Charles Cros lived in France.,1
The inventor Thomas Savery lived in the U.K.,1
The inventor Bartolomeo Cristofori lived in Italy.,1
The inventor Louis Pasteur lived in France.,1
The inventor Frederick G. Creed lived in Sweden.,0
The inventor Alexander Fleming lived in France.,0
The inventor Florence Parpart lived in the U.S.,1
The inventor Henri Giffard lived in the U.S.,0
The inventor Paul Gottlieb Nipkow lived in Germany.,1
The inventor Hippolyte Mège-Mouriès lived in the U.S.,0
The inventor Josephine Cochrane lived in the U.S.,1
The inventor Mary Anderson lived in the U.S.,1
The inventor Otis Boykin lived in France.,0
The inventor John Callcott Horsley lived in the U.K.,1
The inventor Jack Kilby lived in the U.S.,1
The inventor Samuel Fox lived in the U.K.,1
The inventor Hans Berger lived in Germany.,1
The inventor Ernest Swinton lived in the U.S.,0
The inventor André-Jacques Garnerin lived in France.,1
The inventor Alexander Fleming lived in the U.K.,1
The inventor Hans Goldschmidt lived in the Netherlands.,0
The inventor Willem Einthoven lived in France.,0
The inventor Garrett Morgan lived in the U.S.,1
The inventor Richard Trevithick lived in the U.S.,0
The inventor Georges Claude lived in Italy.,0
The inventor Sir Isaac Newton lived in the U.K.,1
The inventor William Kelly lived in the U.S.,1
The inventor Thomas Wedgwood lived in Finland.,0
The inventor Nils Bohlin lived in Germany.,0
The inventor Albert Ghiorso lived in the U.S.,1
The inventor George de Mestral lived in Switzerland.,1
The inventor Carlos Glidden lived in the U.S.,1
The inventor William Congreve lived in the U.K.,1
The inventor John Logie Baird lived in Japan.,0
The inventor Edouard Benedictus lived in the U.S.,0
The inventor Alec Jeffreys lived in France.,0
The inventor Arthur Pitney lived in the U.S.,1
The inventor Giovanni Caselli lived in the U.S.,0
The inventor John Gorrie lived in the U.S.,1
The inventor Robert Chesebrough lived in the U.S.,1
The inventor Johannes Gutenberg lived in the U.K.,0
The inventor Maria Telkes lived in Hungary.,0
The inventor Yoshiro Nakamatsu lived in the U.S.,0
The inventor Chester Carlson lived in the U.S.,1
The inventor George Pullman lived in the U.S.,1
The inventor George Cayley lived in the U.K.,1
The inventor John Bardeen lived in the U.S.,1
The inventor Orville and Wilbur Wright lived in France.,0
The inventor Archimedes lived in the U.S.,0
The inventor Johannes Gutenberg lived in Germany.,1
The inventor George Eastman lived in the U.S.,1
The inventor Hans Lippershey lived in the Netherlands.,1
The inventor Carl Elsener lived in the U.S.,0
The inventor John Boyd Dunlop lived in France.,0
The inventor Heinrich Hertz lived in Germany.,1
The inventor Leonardo da Vinci lived in Italy.,1
The inventor Nikolai Basov lived in the Soviet Union.,1
The inventor Wilhelm Conrad Röntgen lived in the U.S.,0
The inventor Guglielmo Marconi lived in Italy.,1
The inventor Christian Huygens lived in the Netherlands.,1
The inventor Robert Adler lived in the U.K.,0
The inventor John Walker lived in the U.S.,0
The inventor Grace Hopper lived in the U.K.,0
The inventor James West lived in the U.S.,1
The inventor Charles Townes lived in Russia.,0
The inventor Sir Frank Whittle lived in the U.K.,1
The inventor John Ambrose Fleming lived in the U.K.,1
The inventor Gottlieb Daimler lived in Germany.,1
The inventor Frederick McKinley Jones lived in Japan.,0
The inventor William Sturgeon lived in Germany.,0
The inventor Igor Tamm lived in the U.S.,0
The inventor Frank Julian Sprague lived in the U.S.,1
The inventor George Antheil lived in the U.S.,1
The inventor William Kelly lived in France.,0
The inventor Alva J. Fisher lived in the U.S.,1
The inventor Louis Pasteur lived in the U.S.,0
The inventor Thomas Edison lived in the U.S.,1
The inventor Joseph Glidden lived in Germany.,0
The inventor Tim Berners-Lee lived in Germany.,0
The inventor Carl Wilhelm Siemens lived in Germany.,1
The inventor Ralph Benjamin lived in the U.K.,1
The inventor George Devol lived in the U.S.,1
The inventor Igor Tamm lived in Russia.,1
The inventor Philipp Reis lived in Germany.,1
The inventor Edmund Cartwright lived in the U.K.,1
The inventor Heinrich Göbel lived in the U.S.,0
The inventor Yoshua Bengio lived in the U.S.,0
The inventor John Kay lived in the U.S.,0
The inventor Marie Curie lived in Poland/France.,1
The inventor Mary Phelps Jacob lived in the U.S.,1
The inventor Valdemar Poulsen lived in Scotland.,0
The inventor John Harrison lived in the U.K.,1
The inventor John Ericsson lived in the U.S.,0
The inventor James Starley lived in Sweden/the U.S.,0
The inventor Charles Tellier lived in the U.K.,0
The inventor Fritz Pfleumer lived in Canada/the U.S.,0
The inventor Clyde Tombaugh lived in the U.S.,1
The inventor Nicolas Appert lived in Russia.,0
The inventor Felix Hoffmann lived in the U.S.,0
The inventor Joseph Henry lived in the U.S.,1
The inventor Alexander Graham Bell lived in Germany.,0
The inventor Robert Noyce lived in the U.S.,1
The inventor Charles Francis Richter lived in the U.S.,1
The inventor Hans Oersted lived in Denmark.,1
The inventor Nils Bohlin lived in Sweden.,1
The inventor Alec Jeffreys lived in the U.K.,1
The inventor John T. Parsons lived in the U.S.,1
The inventor Otis Boykin lived in the U.S.,1
The inventor Charles Strite lived in the U.S.,1
The inventor Alessandro Volta lived in Italy.,1
The inventor Ruth Handler lived in the U.S.,1
The inventor Georges Claude lived in France.,1
The inventor Hedy Lamarr lived in the U.S.,0
The inventor Alfred Nobel lived in Sweden.,1
The inventor John Ambrose Fleming lived in the U.S.,0
The inventor Charles Strite lived in Italy.,0
The inventor John Ericsson lived in Sweden.,1
The inventor Elisha Otis lived in the U.K.,0
The inventor Gordon Gould lived in Canada.,0
The inventor Christopher Cockerell lived in the U.K.,1
The inventor Sir Charles Parsons lived in the U.K.,1
The inventor Henry Ford lived in the U.S.,1
The inventor Rudolf Kálmán lived in the U.K.,0
The inventor Joseph Swan lived in the U.K.,1
The inventor Richard Gatling lived in the U.S.,1
