statement,label
It is the case both that the inventor Gottlieb Daimler lived in France and that the inventor Hans Berger lived in the U.S.,0
It is the case both that the inventor Joseph Swan lived in the U.K and that the inventor Clarence Birdseye lived in the U.S.,1
It is the case both that the inventor Carlos Glidden lived in Scotland and that the inventor Richard Gatling lived in the U.S.,0
It is the case both that the inventor Henry Bessemer lived in the U.K and that the inventor Wallace Carothers lived in the U.S.,1
It is the case both that the inventor Elisha Otis lived in the U.S and that the inventor Orville and Wilbur Wright lived in the U.S.,1
It is the case both that the inventor Henry Ford lived in the U.S and that the inventor Arthur Pitney lived in the U.K.,0
It is the case both that the inventor Frederick G. Creed lived in Sweden and that the inventor Orville and Wilbur Wright lived in the U.S.,0
It is the case both that the inventor Hans Goldschmidt lived in Germany and that the inventor Georges Claude lived in France.,1
It is the case both that the inventor Wallace Carothers lived in the U.S and that the inventor Joseph Bramah lived in the U.K.,1
It is the case both that the inventor Rudolf Kálmán lived in Hungary and that the inventor James Clerk Maxwell lived in the U.K.,1
It is the case both that the inventor Christopher Cockerell lived in France and that the inventor Bartolomeo Cristofori lived in the U.S.,0
It is the case both that the inventor Sir Humphry Davy lived in the U.S and that the inventor Ralph H. Baer lived in the U.S.,0
It is the case both that the inventor Arthur Pitney lived in the U.S and that the inventor Shinya Yamanaka lived in Germany.,0
It is the case both that the inventor Alexander Graham Bell lived in Scotland/Canada/the U.S and that the inventor Ferdinand von Zeppelin lived in France.,0
It is the case both that the inventor Joseph Bramah lived in the U.K and that the inventor Joseph Bramah lived in the U.K.,1
It is the case both that the inventor Arthur Fry lived in France and that the inventor Hans Lippershey lived in the Netherlands.,0
It is the case both that the inventor Elisha Gray lived in the U.S and that the inventor John von Neumann lived in Hungary/the U.S.,1
It is the case both that the inventor Willis Carrier lived in the U.S and that the inventor Joseph Marie Jacquard lived in France.,1
It is the case both that the inventor Valdemar Poulsen lived in Denmark and that the inventor Heinrich Göbel lived in Germany.,1
It is the case both that the inventor Nils Bohlin lived in Sweden and that the inventor Blaise Pascal lived in Poland/France.,0
It is the case both that the inventor John von Neumann lived in Hungary/the U.S and that the inventor Alfred Nobel lived in Sweden.,1
It is the case both that the inventor Frederick G. Creed lived in Sweden and that the inventor Valdemar Poulsen lived in Denmark.,0
It is the case both that the inventor Herbert Saffir lived in the U.K and that the inventor Otis Boykin lived in France.,0
It is the case both that the inventor Frederick McKinley Jones lived in the U.S and that the inventor George Eastman lived in the U.K.,0
It is the case both that the inventor John Logie Baird lived in Japan and that the inventor Mary Phelps Jacob lived in Ukraine/the U.S.,0
It is the case both that the inventor James Murray Spangler lived in the U.K and that the inventor Karl Benz lived in Germany.,0
It is the case both that the inventor Sir Frank Whittle lived in the U.K and that the inventor James Murray Spangler lived in the U.K.,0
It is the case both that the inventor James Clerk Maxwell lived in the U.S and that the inventor Levi Strauss lived in the U.S.,0
It is the case both that the inventor Luther Simjian lived in Turkey/the U.S and that the inventor John Harrison lived in the U.K.,1
It is the case both that the inventor Konrad Zuse lived in Poland/France and that the inventor Ralph Benjamin lived in Italy.,0
It is the case both that the inventor George Cayley lived in the U.K and that the inventor Evangelista Torricelli lived in Italy.,1
It is the case both that the inventor Charles Francis Richter lived in the U.S and that the inventor John Walker lived in the U.K.,1
