statement,label
"Question: Macrostomia results from failure of fusion of
Answer: maxillary and mandibular processes.",1
"Question: Macrostomia results from failure of fusion of
Answer: left and right mandibular processes.",0
"Question: Macrostomia results from failure of fusion of
Answer: maxillary and frontonasal processes.",0
"Question: Macrostomia results from failure of fusion of
Answer: mandibular and hyoid arches.",0
"Question: In the brain stem, pathways for:
Answer: nociception decussate in the medial lemniscus",0
"Question: In the brain stem, pathways for:
Answer: skilled movements decussate in the medial lemniscus",0
"Question: In the brain stem, pathways for:
Answer: skilled motor movements decussate in the pyramids.",1
"Question: In the brain stem, pathways for:
Answer: discriminative touch decussate in the pyramids.",0
"Question: The head of the sixth rib articulates with
Answer: The inferior articular facet of T5 and superior articular facet of T6.",0
"Question: The head of the sixth rib articulates with
Answer: The inferior articular demifacet of T5 and superior articular facet of T6.",0
"Question: The head of the sixth rib articulates with
Answer: The inferior articular demifacet of T5 and the superior articular demifacet of T6.",1
"Question: The head of the sixth rib articulates with
Answer: The superior and inferior demifacets of T6.",0
"Question: Which of the following allows air to pass into the lungs?
Answer: Aorta",0
"Question: Which of the following allows air to pass into the lungs?
Answer: Esophagus",0
"Question: Which of the following allows air to pass into the lungs?
Answer: Trachea",1
"Question: Which of the following allows air to pass into the lungs?
Answer: Pancreas",0
"Question: Which of the following is the large bone found superior to the patella and inferior to the ischium?
Answer: Calcaneus",0
"Question: Which of the following is the large bone found superior to the patella and inferior to the ischium?
Answer: Femur",1
"Question: Which of the following is the large bone found superior to the patella and inferior to the ischium?
Answer: Symphysis pubis",0
"Question: Which of the following is the large bone found superior to the patella and inferior to the ischium?
Answer: Tibia",0
"Question: A possible effect of damage to the third cranial nerve by trauma to the orbit is
Answer: a convergent strabismus.",0
"Question: A possible effect of damage to the third cranial nerve by trauma to the orbit is
Answer: ptosis.",1
"Question: A possible effect of damage to the third cranial nerve by trauma to the orbit is
Answer: pupillary contriction.",0
"Question: A possible effect of damage to the third cranial nerve by trauma to the orbit is
Answer: bitemporal hemianopia.",0
"Question: Which of the following statements is true of the temporomandibular joint?
Answer: It has an articular disc of hyaline cartilage",0
"Question: Which of the following statements is true of the temporomandibular joint?
Answer: Its articular surfaces are covered by hyaline cartilage",0
"Question: Which of the following statements is true of the temporomandibular joint?
Answer: Proprioceptive information is carried by the chorda tympani and deep temporal nerves",0
"Question: Which of the following statements is true of the temporomandibular joint?
Answer: Proprioceptive information is carried by the masseteric and auriculotemporal nerves.",1
"Question: A successful infraorbital nerve block will produce anaesthesia of the
Answer: maxillary anterior teeth.",0
"Question: A successful infraorbital nerve block will produce anaesthesia of the
Answer: maxillary anterior teeth and their labial gingivae.",0
"Question: A successful infraorbital nerve block will produce anaesthesia of the
Answer: maxillary anterior teeth, their labial gingivae and the upper lip.",1
"Question: A successful infraorbital nerve block will produce anaesthesia of the
Answer: maxillary anterior teeth, their labial gingivae, the upper lip and anterior hard palate.",0
"Question: A patient with damage to their cervical sympathetic chain will show the following signs and symptoms.
Answer: Pupillary constriction",0
"Question: A patient with damage to their cervical sympathetic chain will show the following signs and symptoms.
Answer: Pupillary constriction and vasodilation of facial vessels",1
