statement,label
The symbol Tl does not stand for the chemical element Thallium.,0
The symbol Sb does not stand for the chemical element Barium.,1
The symbol Ta does not stand for the chemical element Tantalum.,0
The symbol Be does not stand for the chemical element Beryllium.,0
The symbol U does not stand for the chemical element Yttrium.,1
The symbol Kr does not stand for the chemical element Krypton.,0
The symbol Np does not stand for the chemical element Molybdenum.,1
The symbol Sn does not stand for the chemical element Strontium.,1
The symbol Rb does not stand for the chemical element Rubidium.,0
The symbol Ti does not stand for the chemical element Titanium.,0
The symbol Sr does not stand for the chemical element Strontium.,0
The symbol Cl does not stand for the chemical element Mercury.,1
The symbol Xe does not stand for the chemical element Xenon.,0
The symbol Re does not stand for the chemical element Uranium.,1
The symbol As does not stand for the chemical element Indium.,1
The symbol Ga does not stand for the chemical element Gallium.,0
The symbol Eu does not stand for the chemical element Europium.,0
The symbol Cl does not stand for the chemical element Chlorine.,0
The symbol Nd does not stand for the chemical element Palladium.,1
The symbol Kr does not stand for the chemical element Rubidium.,1
The symbol Fr does not stand for the chemical element Zinc.,1
The symbol Lu does not stand for the chemical element Sodium.,1
The symbol Fr does not stand for the chemical element Francium.,0
The symbol Se does not stand for the chemical element Selenium.,0
The symbol Ag does not stand for the chemical element Silver.,0
The symbol Al does not stand for the chemical element Potassium.,1
The symbol Ne does not stand for the chemical element Neon.,0
The symbol Pd does not stand for the chemical element Palladium.,0
The symbol S does not stand for the chemical element Sulfur.,0
The symbol Al does not stand for the chemical element Antimony.,1
The symbol Tb does not stand for the chemical element Polonium.,1
The symbol Hf does not stand for the chemical element Hafnium.,0
The symbol Cr does not stand for the chemical element Gold.,1
The symbol Cr does not stand for the chemical element Chlorine.,1
The symbol Ir does not stand for the chemical element Iridium.,0
The symbol Tl does not stand for the chemical element Francium.,1
The symbol Ac does not stand for the chemical element Actinium.,0
The symbol Au does not stand for the chemical element Gold.,0
The symbol As does not stand for the chemical element Beryllium.,1
The symbol Tm does not stand for the chemical element Rhenium.,1
The symbol Pr does not stand for the chemical element Erbium.,1
The symbol Cd does not stand for the chemical element Cadmium.,0
The symbol Ar does not stand for the chemical element Actinium.,1
The symbol Os does not stand for the chemical element Osmium.,0
The symbol Np does not stand for the chemical element Neptunium.,0
The symbol Ne does not stand for the chemical element Cerium.,1
The symbol K does not stand for the chemical element Potassium.,0
The symbol Br does not stand for the chemical element Bromine.,0
The symbol Re does not stand for the chemical element Arsenic.,1
The symbol Se does not stand for the chemical element Thorium.,1
