statement,label
The inventor Edwin Herbert Hall did not live in the U.S.,0
The inventor Emile Berliner did not live in Russia.,1
The inventor Frederick Walton did not live in the U.S.,1
The inventor William Congreve did not live in Canada.,1
The inventor Gustaf Dalén did not live in Sweden.,0
The inventor Evangelista Torricelli did not live in the U.S.,1
The inventor George Pullman did not live in the U.K.,1
The inventor Marvin Camras did not live in France.,1
The inventor William Sturgeon did not live in the U.K.,0
The inventor Frederick Walton did not live in the U.K.,0
The inventor Clarence Birdseye did not live in the U.S.,0
The inventor Gideon Sundback did not live in Sweden/the U.S.,0
The inventor John Shepherd-Barron did not live in Scotland.,0
The inventor Edwin Link did not live in the U.K.,1
The inventor Chester Carlson did not live in the U.K.,1
The inventor Whitcomb Judson did not live in the U.S.,0
The inventor Joseph Glidden did not live in the U.S.,0
The inventor Rudolf Diesel did not live in the U.S.,1
The inventor Charles Wheatstone did not live in France.,1
The inventor John Callcott Horsley did not live in Germany.,1
The inventor Charles Goodyear did not live in the U.S.,0
The inventor Lloyd Groff Copeman did not live in the U.S.,0
The inventor Herbert Akroyd Stuart did not live in England.,0
The inventor Herbert Saffir did not live in the U.K.,1
The inventor August Horch did not live in Russia.,1
The inventor Joseph Marie Jacquard did not live in the Netherlands.,1
The inventor David Edward Hughes did not live in the U.S.,0
The inventor Yoshua Bengio did not live in Canada.,0
The inventor Ferdinand Carré did not live in the U.S.,1
The inventor Rudolf Kálmán did not live in Hungary.,0
The inventor Charles Fritts did not live in the U.S.,0
The inventor Narinder Singh Kapany did not live in India.,0
The inventor Archimedes did not live in Ancient Greece.,0
The inventor Gottlieb Daimler did not live in France.,1
The inventor Fritz Pfleumer did not live in Germany.,0
The inventor Arthur Fry did not live in the U.S.,0
The inventor Fridtjof Nansen did not live in the U.K.,1
The inventor Semyon Kirlian did not live in Russia.,0
The inventor Ignazio Porro did not live in Italy.,0
The inventor Paul Gottlieb Nipkow did not live in Denmark.,1
The inventor Edwin H. Land did not live in Sweden.,1
The inventor Lester Wire did not live in the U.S.,0
The inventor László Bíró did not live in Hungary.,0
The inventor George Eastman did not live in the U.K.,1
The inventor Galileo Galilei did not live in Italy.,0
The inventor John Atanasoff did not live in the U.S.,0
The inventor Benjamin Franklin did not live in the U.S.,0
The inventor Sir Sandford Fleming did not live in Canada.,0
The inventor Robert Moog did not live in the U.S.,0
The inventor George Washington Carver did not live in the U.S.,0
The inventor James Clerk Maxwell did not live in the U.S.,1
The inventor Hans Lippershey did not live in the U.S.,1
The inventor Fridtjof Nansen did not live in Norway.,0
The inventor Sir Sandford Fleming did not live in the U.S.,1
The inventor Willis Carrier did not live in the U.S.,0
The inventor Joseph-Armand Bombardier did not live in Canada.,0
The inventor Earle Dickson did not live in the U.S.,0
The inventor Luther George Simjian did not live in Turkey/the U.S.,0
The inventor Herbert Saffir did not live in the U.S.,0
The inventor Ignazio Porro did not live in the U.S.,1
The inventor Wallace Carothers did not live in the U.S.,0
The inventor John Wesley Hyatt did not live in the U.S.,0
The inventor James Dyson did not live in the U.K.,0
The inventor Candace Pert did not live in the U.S.,0
The inventor David Schwarz did not live in France.,1
The inventor Walter Hunt did not live in the U.S.,0
The inventor Samuel Morse did not live in Germany.,1
The inventor Yvonne Brill did not live in Canada.,0
The inventor Guglielmo Marconi did not live in the U.K.,1
The inventor Shinya Yamanaka did not live in Germany.,1
The inventor Carl Sontheimer did not live in Switzerland.,1
The inventor Sergey Brin and Larry Page did not live in the U.K.,1
The inventor Percy Spencer did not live in the U.S.,0
The inventor Henry Bessemer did not live in the U.K.,0
The inventor Ruth Handler did not live in the Netherlands.,1
The inventor Richard Leach Maddox did not live in the U.K.,0
The inventor Alfred Nobel did not live in the U.S.,1
The inventor Thomas Wedgwood did not live in the U.K.,0
The inventor Frank Bunker Gilbreth did not live in the U.S.,0
The inventor Benjamin Holt did not live in the U.S.,0
The inventor Josephine Cochrane did not live in Germany.,1
The inventor Godfrey Hounsfield did not live in Denmark.,1
The inventor Antoine Lavoisier did not live in France.,0
The inventor Carlos Glidden did not live in Scotland.,1
The inventor Maria Telkes did not live in Hungary/the U.S.,0
The inventor Robert Adler did not live in Austria/the U.S.,0
The inventor James Watt did not live in the U.S.,1
The inventor Edwin Link did not live in the U.S.,0
The inventor Igor Sikorsky did not live in the U.S.,1
The inventor Sir Humphry Davy did not live in the U.K.,0
The inventor Nikolai Basov did not live in the U.S.,1
The inventor Edwin H. Land did not live in the U.S.,0
The inventor Cai Lun did not live in Italy.,1
The inventor Mary Walton did not live in France.,1
The inventor Joseph Aspdin did not live in Switzerland.,1
The inventor James Watt did not live in Scotland.,0
The inventor Ernest Swinton did not live in the U.K.,0
The inventor Jean-Bernard-Léon Foucault did not live in France.,0
The inventor Gordon Gould did not live in the U.S.,0
The inventor Leonardo da Vinci did not live in Poland/France.,1
The inventor Ernesto Blanco did not live in the U.S.,0
The inventor George Cayley did not live in Canada.,1
The inventor John von Neumann did not live in Hungary/the U.S.,0
The inventor Gideon Sundback did not live in the U.S.,1
The inventor Ruth Benerito did not live in the U.S.,0
The inventor Robert Moog did not live in Austria/the U.S.,1
The inventor Luther George Simjian did not live in Norway.,1
The inventor Ralph H. Baer did not live in the U.S.,0
The inventor John Gorrie did not live in Italy.,1
The inventor Michael Faraday did not live in the U.K.,0
The inventor Lloyd Groff Copeman did not live in Germany.,1
The inventor Philo Farnsworth did not live in Germany.,1
The inventor Alan Turing did not live in the U.K.,0
The inventor Elisha Gray did not live in the U.S.,0
The inventor Édouard-Léon Scott de Martinville did not live in France.,0
The inventor Zhores Alferov did not live in the U.K.,1
The inventor Leon Theremin did not live in Russia.,0
The inventor Rudolf Diesel did not live in Germany.,0
The inventor Elisha Otis did not live in the U.S.,0
The inventor László Bíró did not live in the U.S.,1
The inventor Valdemar Poulsen did not live in Denmark.,0
The inventor James Murray Spangler did not live in the U.K.,1
The inventor Joseph Aspdin did not live in the U.K.,0
The inventor Hans Berger did not live in the U.S.,1
The inventor Philo Farnsworth did not live in the U.S.,0
The inventor Ralph Benjamin did not live in Italy.,1
The inventor Florence Parpart did not live in the U.K.,1
The inventor Marvin Camras did not live in the U.S.,0
The inventor Charles Babbage did not live in the U.K.,0
The inventor Charles Francis Richter did not live in France.,1
The inventor Ami Argand did not live in Switzerland.,0
The inventor Kwolek did not live in the U.S.,1
The inventor Richard Gatling did not live in the U.K.,1
The inventor Luther Simjian did not live in Turkey/the U.S.,0
The inventor Joseph Bramah did not live in the U.K.,0
The inventor Hans Geiger did not live in Austria/the U.S.,1
The inventor Alexander Graham Bell did not live in Scotland/Canada/the U.S.,0
The inventor Blaise Pascal did not live in Poland/France.,1
The inventor Charles Macintosh did not live in the U.K.,0
The inventor Narinder Singh Kapany did not live in the U.K.,1
The inventor Bette Nesmith Graham did not live in the U.S.,0
The inventor Édouard-Léon Scott de Martinville did not live in the U.K.,1
The inventor Orville and Wilbur Wright did not live in the U.S.,0
The inventor Richard Leach Maddox did not live in Austria.,1
The inventor Hans Oersted did not live in the U.S.,1
The inventor Charles Cros did not live in the U.S.,1
The inventor R. Buckminster Fuller did not live in Scotland.,1
The inventor Willis Carrier did not live in Italy.,1
The inventor Charles Cros did not live in France.,0
The inventor Thomas Savery did not live in the U.K.,0
The inventor Bartolomeo Cristofori did not live in Italy.,0
The inventor Louis Pasteur did not live in France.,0
The inventor Frederick G. Creed did not live in Sweden.,1
The inventor Alexander Fleming did not live in France.,1
The inventor Florence Parpart did not live in the U.S.,0
The inventor Henri Giffard did not live in the U.S.,1
The inventor Paul Gottlieb Nipkow did not live in Germany.,0
The inventor Hippolyte Mège-Mouriès did not live in the U.S.,1
The inventor Josephine Cochrane did not live in the U.S.,0
The inventor Mary Anderson did not live in the U.S.,0
The inventor Otis Boykin did not live in France.,1
The inventor John Callcott Horsley did not live in the U.K.,0
The inventor Jack Kilby did not live in the U.S.,0
The inventor Samuel Fox did not live in the U.K.,0
The inventor Hans Berger did not live in Germany.,0
The inventor Ernest Swinton did not live in the U.S.,1
The inventor André-Jacques Garnerin did not live in France.,0
The inventor Alexander Fleming did not live in the U.K.,0
The inventor Hans Goldschmidt did not live in the Netherlands.,1
The inventor Willem Einthoven did not live in France.,1
The inventor Garrett Morgan did not live in the U.S.,0
The inventor Richard Trevithick did not live in the U.S.,1
The inventor Georges Claude did not live in Italy.,1
The inventor Sir Isaac Newton did not live in the U.K.,0
The inventor William Kelly did not live in the U.S.,0
The inventor Thomas Wedgwood did not live in Finland.,1
The inventor Nils Bohlin did not live in Germany.,1
The inventor Albert Ghiorso did not live in the U.S.,0
The inventor George de Mestral did not live in Switzerland.,0
The inventor Carlos Glidden did not live in the U.S.,0
The inventor William Congreve did not live in the U.K.,0
The inventor John Logie Baird did not live in Japan.,1
The inventor Edouard Benedictus did not live in the U.S.,1
The inventor Alec Jeffreys did not live in France.,1
The inventor Arthur Pitney did not live in the U.S.,0
The inventor Giovanni Caselli did not live in the U.S.,1
The inventor John Gorrie did not live in the U.S.,0
The inventor Robert Chesebrough did not live in the U.S.,0
The inventor Johannes Gutenberg did not live in the U.K.,1
The inventor Maria Telkes did not live in Hungary.,1
The inventor Yoshiro Nakamatsu did not live in the U.S.,1
The inventor Chester Carlson did not live in the U.S.,0
The inventor George Pullman did not live in the U.S.,0
The inventor George Cayley did not live in the U.K.,0
The inventor John Bardeen did not live in the U.S.,0
The inventor Orville and Wilbur Wright did not live in France.,1
The inventor Archimedes did not live in the U.S.,1
The inventor Johannes Gutenberg did not live in Germany.,0
The inventor George Eastman did not live in the U.S.,0
The inventor Hans Lippershey did not live in the Netherlands.,0
The inventor Carl Elsener did not live in the U.S.,1
The inventor John Boyd Dunlop did not live in France.,1
The inventor Heinrich Hertz did not live in Germany.,0
The inventor Leonardo da Vinci did not live in Italy.,0
The inventor Nikolai Basov did not live in the Soviet Union.,0
